track,artist,date,est_time,ist_time,iso_time,genre,length_ms
LOVE DIVE,IVE,2024-11-28,2024-11-28 00:12:14.658000-05:00,2024-11-28 10:42:14.658000+05:30,2024-11-28T05:12:14.658Z,k-pop girl group,177.186
Boy With Luv (feat. Halsey),BTS,2024-11-28,2024-11-28 00:16:04.928000-05:00,2024-11-28 10:46:04.928000+05:30,2024-11-28T05:16:04.928Z,"k-pop, k-pop boy group, pop",229.773
Likey,TWICE,2024-11-28,2024-11-28 00:23:04.725000-05:00,2024-11-28 10:53:04.725000+05:30,2024-11-28T05:23:04.725Z,"k-pop, k-pop girl group, pop",207.813
Smart,LE SSERAFIM,2024-11-28,2024-11-28 00:25:51.599000-05:00,2024-11-28 10:55:51.599000+05:30,2024-11-28T05:25:51.599Z,k-pop girl group,166.384
HOT,SEVENTEEN,2024-11-28,2024-11-28 00:29:09.681000-05:00,2024-11-28 10:59:09.681000+05:30,2024-11-28T05:29:09.681Z,"k-pop, k-pop boy group",197.586
Cupid,FIFTY FIFTY,2024-11-28,2024-11-28 00:32:04.717000-05:00,2024-11-28 11:02:04.717000+05:30,2024-11-28T05:32:04.717Z,k-pop girl group,174.253
luther (with sza),Kendrick Lamar,2024-11-29,2024-11-29 11:17:10.040000-05:00,2024-11-29 21:47:10.040000+05:30,2024-11-29T16:17:10.040Z,"conscious hip hop, hip hop, rap, west coast rap",177.598
Not Like Us,Kendrick Lamar,2024-11-29,2024-11-29 11:21:44.712000-05:00,2024-11-29 21:51:44.712000+05:30,2024-11-29T16:21:44.712Z,"conscious hip hop, hip hop, rap, west coast rap",274.192
Bags - Recorded At Electric Lady Studios,Clairo,2024-11-29,2024-11-29 11:28:06.623000-05:00,2024-11-29 21:58:06.623000+05:30,2024-11-29T16:28:06.623Z,"bedroom pop, indie pop, pov: indie",279.413
Slow Motion,Matt Champion,2024-11-29,2024-11-29 12:35:09.911000-05:00,2024-11-29 23:05:09.911000+05:30,2024-11-29T17:35:09.911Z,bedroom pop,165.653
cologne,Isaac Dunbar,2024-11-29,2024-11-29 14:28:45.049000-05:00,2024-11-30 00:58:45.049000+05:30,2024-11-29T19:28:45.049Z,"alt z, modern indie pop",230.813
blonde,Isaac Dunbar,2024-11-29,2024-11-29 14:31:11.612000-05:00,2024-11-30 01:01:11.612000+05:30,2024-11-29T19:31:11.612Z,"alt z, modern indie pop",146.093
makeup drawer,Isaac Dunbar,2024-11-29,2024-11-29 14:34:15.036000-05:00,2024-11-30 01:04:15.036000+05:30,2024-11-29T19:34:15.036Z,"alt z, modern indie pop",182.813
pharmacy,Isaac Dunbar,2024-11-29,2024-11-29 14:37:51.386000-05:00,2024-11-30 01:07:51.386000+05:30,2024-11-29T19:37:51.386Z,"alt z, modern indie pop",215.946
Bitter,FLETCHER,2024-11-29,2024-11-29 14:46:41.178000-05:00,2024-11-30 01:16:41.178000+05:30,2024-11-29T19:46:41.178Z,"alt z, pop",194.749
FAKE LOVE,BTS,2024-11-29,2024-11-29 14:50:43.943000-05:00,2024-11-30 01:20:43.943000+05:30,2024-11-29T19:50:43.943Z,"k-pop, k-pop boy group, pop",242.333
Ignite - 2016 League Of Legends World Championship,Zedd,2024-11-29,2024-11-29 18:15:22.052000-05:00,2024-11-30 04:45:22.052000+05:30,2024-11-29T23:15:22.052Z,"complextro, edm, german techno, pop, pop dance",195.466
Warriors,Imagine Dragons,2024-11-29,2024-11-29 18:18:12.600000-05:00,2024-11-30 04:48:12.600000+05:30,2024-11-29T23:18:12.600Z,"modern rock, pop, rock",171.04
Still Here,League of Legends,2024-11-29,2024-11-29 18:22:25.560000-05:00,2024-11-30 04:52:25.560000+05:30,2024-11-29T23:22:25.560Z,"speedrun, video game music",252.453
Phoenix,League of Legends,2024-11-29,2024-11-29 18:25:43.680000-05:00,2024-11-30 04:55:43.680000+05:30,2024-11-29T23:25:43.680Z,"speedrun, video game music",197.633
GODS,League of Legends,2024-11-30,2024-11-29 19:15:21.055000-05:00,2024-11-30 05:45:21.055000+05:30,2024-11-30T00:15:21.055Z,"speedrun, video game music",220.878
CARNIVAL,¥$,2024-11-30,2024-11-29 19:19:55.023000-05:00,2024-11-30 05:49:55.023000+05:30,2024-11-30T00:19:55.023Z,"desi pop, hindi hip hop",270.0
if u think i'm pretty,Artemas,2024-11-30,2024-11-29 19:22:03.700000-05:00,2024-11-30 05:52:03.700000+05:30,2024-11-30T00:22:03.700Z,,128.205
